reading_type,total_records,anomalous_count,pct_anomalous,missing_values,sensor_id,min_time,max_time,actual_hours,missing_hours
humidity,58,0.0,0.0,0.0,sensor_3,2025-06-01 05:00:00+05:30,2025-06-05 18:00:00+05:30,8,102
humidity,58,0.0,0.0,0.0,sensor_5,2025-06-01 05:00:00+05:30,2025-06-05 19:00:00+05:30,9,102
humidity,58,0.0,0.0,0.0,sensor_1,2025-06-01 05:00:00+05:30,2025-06-05 18:00:00+05:30,6,104
humidity,58,0.0,0.0,0.0,sensor_2,2025-06-01 06:00:00+05:30,2025-06-05 19:00:00+05:30,6,104
humidity,58,0.0,0.0,0.0,sensor_4,2025-06-01 06:00:00+05:30,2025-06-05 18:00:00+05:30,4,105
temperature,62,0.0,0.0,0.0,sensor_1,2025-06-01 05:00:00+05:30,2025-06-05 19:00:00+05:30,7,104
temperature,62,0.0,0.0,0.0,sensor_2,2025-06-01 05:00:00+05:30,2025-06-05 18:00:00+05:30,9,101
temperature,62,0.0,0.0,0.0,sensor_4,2025-06-01 06:00:00+05:30,2025-06-05 18:00:00+05:30,7,102
temperature,62,0.0,0.0,0.0,sensor_5,2025-06-01 05:00:00+05:30,2025-06-05 19:00:00+05:30,9,102
temperature,62,0.0,0.0,0.0,sensor_3,2025-06-01 06:00:00+05:30,2025-06-03 06:00:00+05:30,4,45
